kota/kabupaten,nama_sekolah,kategori_sekolah_adiwiyata
Jakarta Pusat,SMAN 20  Pasar Baru,Peraih tingkat Kota
Jakarta Pusat,Sekolah SMPN 77 Cempaka Putih Timur,Peraih tingkat Kota
Jakarta Pusat,SDN 05 Cempaka Putih Barat ,Peraih tingkat Kota
Jakarta Pusat,SDN 05 Rawasari ,Peraih tingkat Kota
Jakarta Pusat,SMPN 71 Cempaka Putih Timur,Peraih tingkat Kota
Jakarta Pusat,SMPN 47 Cempaka Putih Timur,Peraih tingkat Kota
Jakarta Pusat,SMPN 118 Rawasari,Peraih tingkat Kota
Jakarta Pusat,SDN 01 Cempaka Putih Timur,Peraih tingkat Kota
Jakarta Pusat,SDN 01 Cempaka Putih Barat,Peraih tingkat Kota
Jakarta Pusat,SMAN 30 Cempaka Putih,Peraih tingkat Kota
Jakarta Pusat,SMKN 39 Cempaka Putih,Peraih tingkat Kota
Jakarta Pusat,SMAN 77 Cempaka Putih,Peraih tingkat Kota
Jakarta Pusat,SMKS Santa Theresia,Peraih tingkat Kota
Jakarta Pusat,SMPN 8 Menteng,Peraih tingkat Kota
Jakarta Pusat,SMPN Cikini 01,Peraih tingkat Kota
Jakarta Pusat,SDN Kebon Sirih 04,Peraih tingkat Kota
Jakarta Pusat,SMAN 35 Benhil,Peraih tingkat Kota
Jakarta Pusat,SMPN 78 Harapan Mulya,Peraih tingkat Kota
Jakarta Pusat,SDN Cempaka Baru 11 ,Peraih tingkat Kota
Jakarta Pusat,SMK 54 Serdang,Peraih tingkat Kota
Jakarta Pusat,SMPN 79 Kemayoran,Peraih tingkat Kota
Jakarta Pusat,SMK 21 Kemayoran,Peraih tingkat Kota
Kepulauan Seribu,SDN Pulau Untung Jawa 01 Pagi,Peraih tingkat Provinsi
Kepulauan Seribu,SDN Pulau Kelapa 02 Pagi ,Peraih tingkat Provinsi
Kepulauan Seribu,SMAN 69 ,Peraih tingkat Provinsi
Kepulauan Seribu,SMPN 285 ,Peraih tingkat Nasional
